Method,Group,Demographic Parity (%),Demographic Parity Ratio,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR,FPR,Examples
prompt_optimization,nonOld,43.3,1.67,0.0,0.0,53.85,0.56,0.389,26
prompt_optimization,old,39.18,1.87,0.0,0.0,42.86,0.429,0.382,21
prompt_optimization,unknown,17.53,0.33,41.51,58.49,24.53,0.255,0.087,53
few_shot,nonOld,44.9,1.73,0.0,0.0,61.54,0.615,0.389,26
few_shot,old,50.0,2.38,0.0,0.0,42.86,0.45,0.513,21
few_shot,unknown,5.1,0.1,26.42,73.58,9.43,0.096,0.0,53
post_processing,nonOld,44.0,1.69,0.0,0.0,61.54,0.615,0.378,26
post_processing,old,52.0,2.48,0.0,0.0,47.62,0.476,0.532,21
post_processing,unknown,4.0,0.08,20.75,79.25,5.66,0.057,0.021,53
ensemble,nonOld,38.0,1.46,0.0,0.0,46.15,0.462,0.351,26
ensemble,old,57.0,2.71,0.0,0.0,52.38,0.524,0.582,21
ensemble,unknown,5.0,0.09,20.75,79.25,5.66,0.057,0.043,53
