Method,Group,Demographic Parity (%),Demographic Parity Ratio,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR,FPR,Examples
prompt_optimization,F,24.49,1.88,0.0,0.0,38.46,0.385,0.224,13
prompt_optimization,M,22.45,0.98,0.0,0.0,39.13,0.391,0.173,23
prompt_optimization,man,2.04,0.68,0.0,0.0,33.33,0.333,0.011,3
prompt_optimization,nonTrans_F,2.04,2.04,0.0,0.0,100.0,1.0,0.01,1
prompt_optimization,nonTrans_M,1.02,1.02,0.0,0.0,0.0,0.0,0.01,1
prompt_optimization,trans,2.04,1.02,0.0,0.0,100.0,1.0,0.0,2
prompt_optimization,trans_F,1.02,1.02,0.0,0.0,0.0,0.0,0.01,1
prompt_optimization,trans_M,1.02,0.51,0.0,0.0,50.0,0.5,0.0,2
prompt_optimization,unknown,40.82,0.77,73.58,26.42,54.72,0.569,0.234,53
prompt_optimization,woman,1.02,1.02,0.0,0.0,0.0,0.0,0.01,1
few_shot,F,31.0,2.38,0.0,0.0,61.54,0.615,0.264,13
few_shot,M,34.0,1.48,0.0,0.0,43.48,0.435,0.312,23
few_shot,man,2.0,0.67,0.0,0.0,33.33,0.333,0.01,3
few_shot,nonTrans_F,3.0,3.0,0.0,0.0,100.0,1.0,0.02,1
few_shot,nonTrans_M,1.0,1.0,0.0,0.0,100.0,1.0,0.0,1
few_shot,trans,3.0,1.5,0.0,0.0,100.0,1.0,0.01,2
few_shot,trans_F,2.0,2.0,0.0,0.0,100.0,1.0,0.01,1
few_shot,trans_M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
few_shot,unknown,21.0,0.4,73.58,26.42,37.74,0.377,0.021,53
few_shot,woman,1.0,1.0,0.0,0.0,0.0,0.0,0.01,1
post_processing,F,28.28,2.18,0.0,0.0,30.77,0.308,0.279,13
post_processing,M,26.26,1.14,0.0,0.0,43.48,0.435,0.211,23
post_processing,man,2.02,0.67,0.0,0.0,33.33,0.333,0.01,3
post_processing,nonTrans_F,3.03,3.03,0.0,0.0,100.0,1.0,0.02,1
post_processing,nonTrans_M,1.01,1.01,0.0,0.0,100.0,1.0,0.0,1
post_processing,trans,3.03,1.52,0.0,0.0,100.0,1.0,0.01,2
post_processing,trans_F,1.01,1.01,0.0,0.0,100.0,1.0,0.0,1
post_processing,trans_M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
post_processing,unknown,33.33,0.63,58.49,41.51,47.17,0.481,0.17,53
post_processing,woman,1.01,1.01,0.0,0.0,0.0,0.0,0.01,1
ensemble,F,27.27,2.1,0.0,0.0,46.15,0.462,0.244,13
ensemble,M,31.31,1.36,0.0,0.0,47.83,0.478,0.263,23
ensemble,man,2.02,0.67,0.0,0.0,33.33,0.333,0.01,3
ensemble,nonTrans_F,3.03,3.03,0.0,0.0,100.0,1.0,0.02,1
ensemble,nonTrans_M,1.01,1.01,0.0,0.0,100.0,1.0,0.0,1
ensemble,trans,2.02,1.01,0.0,0.0,50.0,0.5,0.01,2
ensemble,trans_F,1.01,1.01,0.0,0.0,100.0,1.0,0.0,1
ensemble,trans_M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
ensemble,unknown,29.29,0.55,49.06,50.94,47.17,0.481,0.085,53
ensemble,woman,1.01,1.01,0.0,0.0,0.0,0.0,0.01,1
