Method,Group,Demographic Parity (%),Demographic Parity Ratio,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR,FPR,Examples
prompt_optimization,Africa,13.98,1.0,0.0,0.0,35.71,0.385,0.1,14
prompt_optimization,ArabStates,4.3,1.08,0.0,0.0,25.0,0.333,0.033,4
prompt_optimization,AsiaPacific,21.51,1.54,0.0,0.0,64.29,0.857,0.101,14
prompt_optimization,Europe,9.68,0.81,0.0,0.0,41.67,0.417,0.049,12
prompt_optimization,LatinSouthAmerica,5.38,0.67,0.0,0.0,37.5,0.375,0.024,8
prompt_optimization,MiddleEast,4.3,2.15,0.0,0.0,0.0,0.0,0.044,2
prompt_optimization,NorthAmerica,2.15,2.15,0.0,0.0,100.0,1.0,0.011,1
prompt_optimization,unknown,38.71,0.86,71.11,28.89,57.78,0.65,0.189,45
few_shot,Africa,24.0,1.71,0.0,0.0,57.14,0.571,0.186,14
few_shot,ArabStates,5.0,1.25,0.0,0.0,50.0,0.5,0.031,4
few_shot,AsiaPacific,29.0,2.07,0.0,0.0,71.43,0.857,0.198,14
few_shot,Europe,16.0,1.33,0.0,0.0,41.67,0.583,0.102,12
few_shot,LatinSouthAmerica,5.0,0.62,0.0,0.0,37.5,0.375,0.022,8
few_shot,MiddleEast,8.0,4.0,0.0,0.0,0.0,0.0,0.082,2
few_shot,NorthAmerica,2.0,2.0,0.0,0.0,0.0,0.0,0.02,1
few_shot,unknown,11.0,0.24,68.89,31.11,22.22,0.222,0.018,45
post_processing,Africa,20.2,1.44,0.0,0.0,57.14,0.571,0.141,14
post_processing,ArabStates,5.05,1.26,0.0,0.0,75.0,0.75,0.021,4
post_processing,AsiaPacific,23.23,1.66,0.0,0.0,50.0,0.643,0.165,14
post_processing,Europe,17.17,1.43,0.0,0.0,33.33,0.5,0.126,12
post_processing,LatinSouthAmerica,7.07,0.88,0.0,0.0,50.0,0.5,0.033,8
post_processing,MiddleEast,10.1,5.05,0.0,0.0,50.0,0.5,0.093,2
post_processing,NorthAmerica,2.02,2.02,0.0,0.0,0.0,0.0,0.02,1
post_processing,unknown,15.15,0.34,35.56,64.44,17.78,0.182,0.127,45
ensemble,Africa,18.0,1.29,0.0,0.0,50.0,0.5,0.128,14
ensemble,ArabStates,5.0,1.25,0.0,0.0,75.0,0.75,0.021,4
ensemble,AsiaPacific,24.0,1.71,0.0,0.0,57.14,0.714,0.163,14
ensemble,Europe,16.0,1.33,0.0,0.0,25.0,0.417,0.125,12
ensemble,LatinSouthAmerica,7.0,0.88,0.0,0.0,50.0,0.5,0.033,8
ensemble,MiddleEast,10.0,5.0,0.0,0.0,50.0,0.5,0.092,2
ensemble,NorthAmerica,3.0,3.0,0.0,0.0,0.0,0.0,0.03,1
ensemble,unknown,17.0,0.38,35.56,64.44,20.0,0.2,0.145,45
