Group,ensemble,few_shot,post_processing,prompt_optimization
Asian,1.0,0.0,0.0,0.0
European,1.0,2.0,1.0,2.08
F-Arab,5.0,6.0,5.0,5.21
F-Asian,1.0,0.0,2.0,1.04
F-Black,13.0,11.0,12.0,8.33
F-Latino,7.0,5.0,7.0,6.25
F-White,6.0,3.0,7.0,5.21
Hispanic,0.0,0.0,0.0,0.0
Jewish,1.0,2.0,1.0,0.0
Latino,0.0,1.0,0.0,0.0
M-Arab,10.0,8.0,9.0,2.08
M-Asian,1.0,2.0,1.0,3.12
M-Black,7.0,7.0,9.0,8.33
M-Latino,11.0,6.0,10.0,8.33
M-White,7.0,8.0,7.0,4.17
Native American,2.0,1.0,2.0,1.04
South American,2.0,2.0,2.0,4.17
unknown,15.0,27.0,13.0,37.5
