Group,ensemble,few_shot,post_processing,prompt_optimization
Asian,0.0,0.0,0.0,0.0
European,0.0,0.01,0.0,0.011
F-Arab,0.011,0.021,0.011,0.022
F-Asian,0.01,0.0,0.02,0.011
F-Black,0.085,0.074,0.085,0.077
F-Latino,0.042,0.031,0.042,0.033
F-White,0.021,0.011,0.021,0.022
Hispanic,0.0,0.0,0.0,0.0
Jewish,0.01,0.02,0.01,0.0
Latino,0.0,0.0,0.0,0.0
M-Arab,0.082,0.052,0.072,0.022
M-Asian,0.0,0.0,0.011,0.0
M-Black,0.043,0.053,0.064,0.067
M-Latino,0.065,0.043,0.065,0.045
M-White,0.052,0.052,0.041,0.032
Native American,0.01,0.0,0.01,0.011
South American,0.01,0.01,0.01,0.021
unknown,0.037,0.204,0.037,0.245
