Group,ensemble,few_shot,post_processing,prompt_optimization
Asian,1.0,0.0,0.0,0.0
European,1.0,1.0,1.0,1.0
F-Arab,0.8,0.8,0.8,0.6
F-Asian,0.0,0.0,0.0,0.0
F-Black,0.833,0.667,0.667,0.2
F-Latino,0.75,0.5,0.75,0.75
F-White,0.8,0.4,1.0,0.6
Hispanic,0.0,0.0,0.0,0.0
Jewish,0.0,0.0,0.0,0.0
Latino,0.0,0.5,0.0,0.0
M-Arab,0.667,1.0,0.667,0.0
M-Asian,0.2,0.4,0.0,0.6
M-Black,0.5,0.333,0.5,0.333
M-Latino,0.714,0.286,0.571,0.571
M-White,0.667,1.0,1.0,0.333
Native American,1.0,1.0,1.0,0.0
South American,0.5,0.5,0.5,1.0
unknown,0.283,0.348,0.239,0.535
