Group,ensemble,few_shot,post_processing,prompt_optimization
Asian,0.0,0.0,0.0,0.0
European,0.0,0.0,0.0,0.0
F-Arab,0.0,0.0,0.0,0.0
F-Asian,0.0,0.0,0.0,0.0
F-Black,0.0,0.0,0.0,0.0
F-Latino,0.0,0.0,0.0,0.0
F-White,0.0,0.0,0.0,0.0
Hispanic,0.0,0.0,0.0,0.0
Jewish,0.0,0.0,0.0,0.0
Latino,0.0,0.0,0.0,0.0
M-Arab,0.0,0.0,0.0,0.0
M-Asian,0.0,0.0,0.0,0.0
M-Black,0.0,0.0,0.0,0.0
M-Latino,0.0,0.0,0.0,0.0
M-White,0.0,0.0,0.0,0.0
Native American,0.0,0.0,0.0,0.0
South American,0.0,0.0,0.0,0.0
unknown,43.48,67.39,41.3,82.61
