Group,ensemble,few_shot,post_processing,prompt_optimization
F-African American,0.031,0.021,0.031,0.022
F-Arab,0.043,0.011,0.033,0.0
F-Asian,0.092,0.062,0.092,0.032
F-Black,0.108,0.11,0.118,0.068
F-Hispanic,0.0,0.01,0.0,0.0
F-Latino,0.071,0.031,0.102,0.022
F-Middle Eastern,0.0,0.01,0.0,0.0
F-Roma,0.01,0.01,0.01,0.0
F-White,0.031,0.021,0.031,0.011
M-African,0.0,0.0,0.0,0.0
M-Arab,0.021,0.022,0.032,0.022
M-Asian,0.011,0.056,0.022,0.012
M-Black,0.103,0.095,0.082,0.065
M-Latino,0.011,0.0,0.011,0.011
M-Roma,0.0,0.0,0.0,0.0
M-White,0.031,0.011,0.031,0.0
unknown,0.047,0.136,0.047,0.19
