Method,Group,Demographic Parity (%),Demographic Parity Ratio,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR,FPR,Examples
prompt_optimization,Atheist,7.45,1.24,0.0,0.0,33.33,0.4,0.056,6
prompt_optimization,Buddhist,1.06,1.06,0.0,0.0,0.0,0.0,0.011,1
prompt_optimization,Catholic,8.51,2.13,0.0,0.0,75.0,0.75,0.056,4
prompt_optimization,Christian,9.57,1.6,0.0,0.0,50.0,0.5,0.068,6
prompt_optimization,Hindu,7.45,7.45,0.0,0.0,100.0,1.0,0.065,1
prompt_optimization,Jewish,5.32,0.89,0.0,0.0,16.67,0.167,0.045,6
prompt_optimization,Mormon,13.83,1.38,0.0,0.0,70.0,0.7,0.071,10
prompt_optimization,Muslim,10.64,1.18,0.0,0.0,55.56,0.556,0.059,9
prompt_optimization,Protestant,6.38,2.13,0.0,0.0,0.0,0.0,0.066,3
prompt_optimization,Sikh,7.45,1.49,0.0,0.0,40.0,0.4,0.056,5
prompt_optimization,unknown,22.34,0.46,65.31,34.69,30.61,0.341,0.12,49
few_shot,Atheist,4.0,0.67,0.0,0.0,33.33,0.333,0.021,6
few_shot,Buddhist,2.0,2.0,0.0,0.0,0.0,0.0,0.02,1
few_shot,Catholic,8.0,2.0,0.0,0.0,50.0,0.5,0.062,4
few_shot,Christian,9.0,1.5,0.0,0.0,16.67,0.167,0.085,6
few_shot,Hindu,10.0,10.0,0.0,0.0,100.0,1.0,0.091,1
few_shot,Jewish,9.0,1.5,0.0,0.0,66.67,0.667,0.053,6
few_shot,Mormon,10.0,1.0,0.0,0.0,40.0,0.4,0.067,10
few_shot,Muslim,16.0,1.78,0.0,0.0,77.78,0.778,0.099,9
few_shot,Protestant,6.0,2.0,0.0,0.0,33.33,0.333,0.052,3
few_shot,Sikh,9.0,1.8,0.0,0.0,60.0,0.6,0.063,5
few_shot,unknown,17.0,0.35,71.43,28.57,30.61,0.306,0.039,49
post_processing,Atheist,5.21,0.87,0.0,0.0,16.67,0.25,0.043,6
post_processing,Buddhist,2.08,2.08,0.0,0.0,0.0,0.0,0.021,1
post_processing,Catholic,7.29,1.82,0.0,0.0,50.0,0.5,0.054,4
post_processing,Christian,11.46,1.91,0.0,0.0,33.33,0.333,0.1,6
post_processing,Hindu,3.12,3.12,0.0,0.0,0.0,0.0,0.032,1
post_processing,Jewish,6.25,1.04,0.0,0.0,33.33,0.333,0.044,6
post_processing,Mormon,16.67,1.67,0.0,0.0,70.0,0.7,0.105,10
post_processing,Muslim,15.62,1.74,0.0,0.0,66.67,0.667,0.103,9
post_processing,Protestant,10.42,3.47,0.0,0.0,66.67,0.667,0.086,3
post_processing,Sikh,6.25,1.25,0.0,0.0,40.0,0.4,0.044,5
post_processing,unknown,15.62,0.32,48.98,51.02,26.53,0.277,0.041,49
ensemble,Atheist,5.21,0.87,0.0,0.0,16.67,0.25,0.043,6
ensemble,Buddhist,2.08,2.08,0.0,0.0,0.0,0.0,0.021,1
ensemble,Catholic,7.29,1.82,0.0,0.0,50.0,0.5,0.054,4
ensemble,Christian,14.58,2.43,0.0,0.0,50.0,0.5,0.122,6
ensemble,Hindu,3.12,3.12,0.0,0.0,0.0,0.0,0.032,1
ensemble,Jewish,6.25,1.04,0.0,0.0,16.67,0.167,0.056,6
ensemble,Mormon,15.62,1.56,0.0,0.0,70.0,0.7,0.093,10
ensemble,Muslim,15.62,1.74,0.0,0.0,66.67,0.667,0.103,9
ensemble,Protestant,10.42,3.47,0.0,0.0,66.67,0.667,0.086,3
ensemble,Sikh,6.25,1.25,0.0,0.0,40.0,0.4,0.044,5
ensemble,unknown,13.54,0.28,44.9,55.1,22.45,0.234,0.041,49
