Method,Group,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR,FPR,Examples
prompt_optimization,bisexual,0.0,0.0,41.67,0.417,0.084,12
prompt_optimization,gay,0.0,0.0,35.0,0.35,0.12,20
prompt_optimization,lesbian,0.0,0.0,27.27,0.3,0.035,11
prompt_optimization,pansexual,0.0,0.0,44.44,0.5,0.092,9
prompt_optimization,straight,0.0,0.0,50.0,0.5,0.056,6
prompt_optimization,unknown,85.71,14.29,57.14,0.615,0.304,42
few_shot,bisexual,0.0,0.0,66.67,0.667,0.081,12
few_shot,gay,0.0,0.0,50.0,0.5,0.154,20
few_shot,lesbian,0.0,0.0,36.36,0.4,0.023,11
few_shot,pansexual,0.0,0.0,88.89,0.889,0.135,9
few_shot,straight,0.0,0.0,66.67,0.667,0.098,6
few_shot,unknown,73.81,26.19,42.86,0.439,0.07,42
post_processing,bisexual,0.0,0.0,66.67,0.667,0.141,12
post_processing,gay,0.0,0.0,55.0,0.55,0.104,20
post_processing,lesbian,0.0,0.0,54.55,0.545,0.058,11
post_processing,pansexual,0.0,0.0,88.89,1.0,0.169,9
post_processing,straight,0.0,0.0,66.67,0.667,0.077,6
post_processing,unknown,42.86,57.14,19.05,0.2,0.088,42
ensemble,bisexual,0.0,0.0,66.67,0.667,0.128,12
ensemble,gay,0.0,0.0,55.0,0.55,0.103,20
ensemble,lesbian,0.0,0.0,54.55,0.545,0.069,11
ensemble,pansexual,0.0,0.0,100.0,1.0,0.157,9
ensemble,straight,0.0,0.0,66.67,0.667,0.076,6
ensemble,unknown,42.86,57.14,21.43,0.225,0.086,42
