Category,Group,Method,Unknown Rate (%)
Age,0,Group,nonOld
Age,0,ensemble,0.0
Age,0,few_shot,0.0
Age,0,post_processing,0.0
Age,0,prompt_optimization,0.0
Age,1,Group,old
Age,1,ensemble,0.0
Age,1,few_shot,0.0
Age,1,post_processing,0.0
Age,1,prompt_optimization,0.0
Age,2,Group,unknown
Age,2,ensemble,20.75
Age,2,few_shot,26.42
Age,2,post_processing,20.75
Age,2,prompt_optimization,41.51
Disability_status,0,Group,disabled
Disability_status,0,ensemble,0.0
Disability_status,0,few_shot,0.0
Disability_status,0,post_processing,0.0
Disability_status,0,prompt_optimization,0.0
Disability_status,1,Group,nonDisabled
Disability_status,1,ensemble,0.0
Disability_status,1,few_shot,0.0
Disability_status,1,post_processing,0.0
Disability_status,1,prompt_optimization,0.0
Disability_status,2,Group,unknown
Disability_status,2,ensemble,53.33
Disability_status,2,few_shot,37.78
Disability_status,2,post_processing,53.33
Disability_status,2,prompt_optimization,53.33
Gender_identity,0,Group,F
Gender_identity,0,ensemble,0.0
Gender_identity,0,few_shot,0.0
Gender_identity,0,post_processing,0.0
Gender_identity,0,prompt_optimization,0.0
Gender_identity,1,Group,M
Gender_identity,1,ensemble,0.0
Gender_identity,1,few_shot,0.0
Gender_identity,1,post_processing,0.0
Gender_identity,1,prompt_optimization,0.0
Gender_identity,2,Group,man
Gender_identity,2,ensemble,0.0
Gender_identity,2,few_shot,0.0
Gender_identity,2,post_processing,0.0
Gender_identity,2,prompt_optimization,0.0
Gender_identity,3,Group,nonTrans_F
Gender_identity,3,ensemble,0.0
Gender_identity,3,few_shot,0.0
Gender_identity,3,post_processing,0.0
Gender_identity,3,prompt_optimization,0.0
Gender_identity,4,Group,nonTrans_M
Gender_identity,4,ensemble,0.0
Gender_identity,4,few_shot,0.0
Gender_identity,4,post_processing,0.0
Gender_identity,4,prompt_optimization,0.0
Gender_identity,5,Group,trans
Gender_identity,5,ensemble,0.0
Gender_identity,5,few_shot,0.0
Gender_identity,5,post_processing,0.0
Gender_identity,5,prompt_optimization,0.0
Gender_identity,6,Group,trans_F
Gender_identity,6,ensemble,0.0
Gender_identity,6,few_shot,0.0
Gender_identity,6,post_processing,0.0
Gender_identity,6,prompt_optimization,0.0
Gender_identity,7,Group,trans_M
Gender_identity,7,ensemble,0.0
Gender_identity,7,few_shot,0.0
Gender_identity,7,post_processing,0.0
Gender_identity,7,prompt_optimization,0.0
Gender_identity,8,Group,unknown
Gender_identity,8,ensemble,49.06
Gender_identity,8,few_shot,73.58
Gender_identity,8,post_processing,58.49
Gender_identity,8,prompt_optimization,73.58
Gender_identity,9,Group,woman
Gender_identity,9,ensemble,0.0
Gender_identity,9,few_shot,0.0
Gender_identity,9,post_processing,0.0
Gender_identity,9,prompt_optimization,0.0
Nationality,0,Group,Africa
Nationality,0,ensemble,0.0
Nationality,0,few_shot,0.0
Nationality,0,post_processing,0.0
Nationality,0,prompt_optimization,0.0
Nationality,1,Group,ArabStates
Nationality,1,ensemble,0.0
Nationality,1,few_shot,0.0
Nationality,1,post_processing,0.0
Nationality,1,prompt_optimization,0.0
Nationality,2,Group,AsiaPacific
Nationality,2,ensemble,0.0
Nationality,2,few_shot,0.0
Nationality,2,post_processing,0.0
Nationality,2,prompt_optimization,0.0
Nationality,3,Group,Europe
Nationality,3,ensemble,0.0
Nationality,3,few_shot,0.0
Nationality,3,post_processing,0.0
Nationality,3,prompt_optimization,0.0
Nationality,4,Group,LatinSouthAmerica
Nationality,4,ensemble,0.0
Nationality,4,few_shot,0.0
Nationality,4,post_processing,0.0
Nationality,4,prompt_optimization,0.0
Nationality,5,Group,MiddleEast
Nationality,5,ensemble,0.0
Nationality,5,few_shot,0.0
Nationality,5,post_processing,0.0
Nationality,5,prompt_optimization,0.0
Nationality,6,Group,NorthAmerica
Nationality,6,ensemble,0.0
Nationality,6,few_shot,0.0
Nationality,6,post_processing,0.0
Nationality,6,prompt_optimization,0.0
Nationality,7,Group,unknown
Nationality,7,ensemble,35.56
Nationality,7,few_shot,68.89
Nationality,7,post_processing,35.56
Nationality,7,prompt_optimization,71.11
Physical_appearance,0,Group,negDress
Physical_appearance,0,ensemble,0.0
Physical_appearance,0,few_shot,0.0
Physical_appearance,0,post_processing,0.0
Physical_appearance,0,prompt_optimization,0.0
Physical_appearance,1,Group,noVisibleDifference
Physical_appearance,1,ensemble,0.0
Physical_appearance,1,few_shot,0.0
Physical_appearance,1,post_processing,0.0
Physical_appearance,1,prompt_optimization,0.0
Physical_appearance,2,Group,nonObese
Physical_appearance,2,ensemble,0.0
Physical_appearance,2,few_shot,0.0
Physical_appearance,2,post_processing,0.0
Physical_appearance,2,prompt_optimization,0.0
Physical_appearance,3,Group,notPregnant
Physical_appearance,3,ensemble,0.0
Physical_appearance,3,few_shot,0.0
Physical_appearance,3,post_processing,0.0
Physical_appearance,3,prompt_optimization,0.0
Physical_appearance,4,Group,obese
Physical_appearance,4,ensemble,0.0
Physical_appearance,4,few_shot,0.0
Physical_appearance,4,post_processing,0.0
Physical_appearance,4,prompt_optimization,0.0
Physical_appearance,5,Group,posDress
Physical_appearance,5,ensemble,0.0
Physical_appearance,5,few_shot,0.0
Physical_appearance,5,post_processing,0.0
Physical_appearance,5,prompt_optimization,0.0
Physical_appearance,6,Group,pregnant
Physical_appearance,6,ensemble,0.0
Physical_appearance,6,few_shot,0.0
Physical_appearance,6,post_processing,0.0
Physical_appearance,6,prompt_optimization,0.0
Physical_appearance,7,Group,short
Physical_appearance,7,ensemble,0.0
Physical_appearance,7,few_shot,0.0
Physical_appearance,7,post_processing,0.0
Physical_appearance,7,prompt_optimization,0.0
Physical_appearance,8,Group,tall
Physical_appearance,8,ensemble,0.0
Physical_appearance,8,few_shot,0.0
Physical_appearance,8,post_processing,0.0
Physical_appearance,8,prompt_optimization,0.0
Physical_appearance,9,Group,unknown
Physical_appearance,9,ensemble,18.18
Physical_appearance,9,few_shot,45.45
Physical_appearance,9,post_processing,20.0
Physical_appearance,9,prompt_optimization,65.45
Physical_appearance,10,Group,visibleDifference
Physical_appearance,10,ensemble,0.0
Physical_appearance,10,few_shot,0.0
Physical_appearance,10,post_processing,0.0
Physical_appearance,10,prompt_optimization,0.0
Race_ethnicity,0,Group,Asian
Race_ethnicity,0,ensemble,0.0
Race_ethnicity,0,few_shot,0.0
Race_ethnicity,0,post_processing,0.0
Race_ethnicity,0,prompt_optimization,0.0
Race_ethnicity,1,Group,European
Race_ethnicity,1,ensemble,0.0
Race_ethnicity,1,few_shot,0.0
Race_ethnicity,1,post_processing,0.0
Race_ethnicity,1,prompt_optimization,0.0
