num_examples,acc,asr,model,mask_rate,task
148,61.48648648648649,38.51351351351351,pred-gemini-1.5-flash,0.1,sst2
148,58.108108108108105,41.891891891891895,pred-gemini-1.5-flash-8b,0.1,sst2
148,60.13513513513513,39.86486486486487,pred-gemini-1.5-flash,0.2,sst2
148,52.702702702702695,47.297297297297305,pred-gemini-1.5-flash-8b,0.2,sst2
148,52.02702702702703,47.97297297297297,pred-gemini-1.5-flash,0.3,sst2
148,48.64864864864865,51.35135135135135,pred-gemini-1.5-flash-8b,0.3,sst2
148,54.054054054054056,45.94594594594594,pred-gemini-1.5-flash,0.4,sst2
148,50.0,50.0,pred-gemini-1.5-flash-8b,0.4,sst2
148,48.64864864864865,51.35135135135135,pred-gemini-1.5-flash,0.5,sst2
148,46.62162162162162,53.37837837837838,pred-gemini-1.5-flash-8b,0.5,sst2
148,48.64864864864865,51.35135135135135,pred-gemini-1.5-flash,0.6,sst2
148,48.64864864864865,51.35135135135135,pred-gemini-1.5-flash-8b,0.6,sst2
148,50.67567567567568,49.32432432432432,pred-gemini-1.5-flash,0.7,sst2
148,50.0,50.0,pred-gemini-1.5-flash-8b,0.7,sst2
148,45.94594594594595,54.054054054054056,pred-gemini-1.5-flash,0.8,sst2
148,45.94594594594595,54.054054054054056,pred-gemini-1.5-flash-8b,0.8,sst2
148,45.27027027027027,54.72972972972974,pred-gemini-1.5-flash,0.9,sst2
148,52.02702702702703,47.97297297297297,pred-gemini-1.5-flash-8b,0.9,sst2
