num_examples,acc,asr,method,model,mask_rate,task
8,75.0,25.0,BERT-ATTACK,pred-gemini-1.5-flash,0.1,sst2
8,50.0,50.0,BERT-ATTACK,pred-gemini-1.5-flash-8b,0.1,sst2
8,50.0,50.0,BERT-ATTACK,pred-gemini-1.5-flash,0.2,sst2
8,37.5,62.5,BERT-ATTACK,pred-gemini-1.5-flash-8b,0.2,sst2
8,37.5,62.5,BERT-ATTACK,pred-gemini-1.5-flash,0.3,sst2
8,25.0,75.0,BERT-ATTACK,pred-gemini-1.5-flash-8b,0.3,sst2
8,25.0,75.0,BERT-ATTACK,pred-gemini-1.5-flash,0.4,sst2
8,37.5,62.5,BERT-ATTACK,pred-gemini-1.5-flash-8b,0.4,sst2
8,25.0,75.0,BERT-ATTACK,pred-gemini-1.5-flash,0.5,sst2
8,37.5,62.5,BERT-ATTACK,pred-gemini-1.5-flash-8b,0.5,sst2
8,25.0,75.0,BERT-ATTACK,pred-gemini-1.5-flash,0.6,sst2
8,25.0,75.0,BERT-ATTACK,pred-gemini-1.5-flash-8b,0.6,sst2
8,25.0,75.0,BERT-ATTACK,pred-gemini-1.5-flash,0.7,sst2
8,62.5,37.5,BERT-ATTACK,pred-gemini-1.5-flash-8b,0.7,sst2
8,25.0,75.0,BERT-ATTACK,pred-gemini-1.5-flash,0.8,sst2
8,50.0,50.0,BERT-ATTACK,pred-gemini-1.5-flash-8b,0.8,sst2
8,25.0,75.0,BERT-ATTACK,pred-gemini-1.5-flash,0.9,sst2
8,75.0,25.0,BERT-ATTACK,pred-gemini-1.5-flash-8b,0.9,sst2
