num_examples,acc,asr,method,model,mask_rate,task
9,77.77777777777779,22.22222222222222,SemAttack,pred-gemini-1.5-flash,0.1,sst2
9,77.77777777777779,22.22222222222222,SemAttack,pred-gemini-1.5-flash-8b,0.1,sst2
9,66.66666666666666,33.333333333333336,SemAttack,pred-gemini-1.5-flash,0.2,sst2
9,66.66666666666666,33.333333333333336,SemAttack,pred-gemini-1.5-flash-8b,0.2,sst2
9,55.55555555555556,44.44444444444444,SemAttack,pred-gemini-1.5-flash,0.3,sst2
9,55.55555555555556,44.44444444444444,SemAttack,pred-gemini-1.5-flash-8b,0.3,sst2
9,33.33333333333333,66.66666666666667,SemAttack,pred-gemini-1.5-flash,0.4,sst2
9,44.44444444444444,55.55555555555556,SemAttack,pred-gemini-1.5-flash-8b,0.4,sst2
9,33.33333333333333,66.66666666666667,SemAttack,pred-gemini-1.5-flash,0.5,sst2
9,66.66666666666666,33.333333333333336,SemAttack,pred-gemini-1.5-flash-8b,0.5,sst2
9,22.22222222222222,77.77777777777779,SemAttack,pred-gemini-1.5-flash,0.6,sst2
9,55.55555555555556,44.44444444444444,SemAttack,pred-gemini-1.5-flash-8b,0.6,sst2
9,22.22222222222222,77.77777777777779,SemAttack,pred-gemini-1.5-flash,0.7,sst2
9,66.66666666666666,33.333333333333336,SemAttack,pred-gemini-1.5-flash-8b,0.7,sst2
9,22.22222222222222,77.77777777777779,SemAttack,pred-gemini-1.5-flash,0.8,sst2
9,77.77777777777779,22.22222222222222,SemAttack,pred-gemini-1.5-flash-8b,0.8,sst2
9,22.22222222222222,77.77777777777779,SemAttack,pred-gemini-1.5-flash,0.9,sst2
9,77.77777777777779,22.22222222222222,SemAttack,pred-gemini-1.5-flash-8b,0.9,sst2
