num_examples,acc,asr,method,model,mask_rate,task
28,64.28571428571429,35.71428571428571,SememePSO,pred-gemini-1.5-flash,0.1,sst2
28,60.71428571428571,39.28571428571429,SememePSO,pred-gemini-1.5-flash-8b,0.1,sst2
28,67.85714285714286,32.14285714285714,SememePSO,pred-gemini-1.5-flash,0.2,sst2
28,57.14285714285714,42.85714285714286,SememePSO,pred-gemini-1.5-flash-8b,0.2,sst2
28,64.28571428571429,35.71428571428571,SememePSO,pred-gemini-1.5-flash,0.3,sst2
28,39.285714285714285,60.71428571428572,SememePSO,pred-gemini-1.5-flash-8b,0.3,sst2
28,67.85714285714286,32.14285714285714,SememePSO,pred-gemini-1.5-flash,0.4,sst2
28,60.71428571428571,39.28571428571429,SememePSO,pred-gemini-1.5-flash-8b,0.4,sst2
28,57.14285714285714,42.85714285714286,SememePSO,pred-gemini-1.5-flash,0.5,sst2
28,46.42857142857143,53.57142857142857,SememePSO,pred-gemini-1.5-flash-8b,0.5,sst2
28,60.71428571428571,39.28571428571429,SememePSO,pred-gemini-1.5-flash,0.6,sst2
28,64.28571428571429,35.71428571428571,SememePSO,pred-gemini-1.5-flash-8b,0.6,sst2
28,64.28571428571429,35.71428571428571,SememePSO,pred-gemini-1.5-flash,0.7,sst2
28,57.14285714285714,42.85714285714286,SememePSO,pred-gemini-1.5-flash-8b,0.7,sst2
28,60.71428571428571,39.28571428571429,SememePSO,pred-gemini-1.5-flash,0.8,sst2
28,35.714285714285715,64.28571428571428,SememePSO,pred-gemini-1.5-flash-8b,0.8,sst2
28,53.57142857142857,46.42857142857143,SememePSO,pred-gemini-1.5-flash,0.9,sst2
28,42.857142857142854,57.14285714285714,SememePSO,pred-gemini-1.5-flash-8b,0.9,sst2
