num_examples,acc,asr,method,model,mask_rate,task
19,47.368421052631575,52.63157894736843,StressTest,pred-gemini-1.5-flash,0.1,sst2
19,42.10526315789473,57.89473684210527,StressTest,pred-gemini-1.5-flash-8b,0.1,sst2
19,42.10526315789473,57.89473684210527,StressTest,pred-gemini-1.5-flash,0.2,sst2
19,36.84210526315789,63.1578947368421,StressTest,pred-gemini-1.5-flash-8b,0.2,sst2
19,36.84210526315789,63.1578947368421,StressTest,pred-gemini-1.5-flash,0.3,sst2
19,36.84210526315789,63.1578947368421,StressTest,pred-gemini-1.5-flash-8b,0.3,sst2
19,47.368421052631575,52.63157894736843,StressTest,pred-gemini-1.5-flash,0.4,sst2
19,31.57894736842105,68.42105263157895,StressTest,pred-gemini-1.5-flash-8b,0.4,sst2
19,47.368421052631575,52.63157894736843,StressTest,pred-gemini-1.5-flash,0.5,sst2
19,31.57894736842105,68.42105263157895,StressTest,pred-gemini-1.5-flash-8b,0.5,sst2
19,42.10526315789473,57.89473684210527,StressTest,pred-gemini-1.5-flash,0.6,sst2
19,21.052631578947366,78.94736842105263,StressTest,pred-gemini-1.5-flash-8b,0.6,sst2
19,47.368421052631575,52.63157894736843,StressTest,pred-gemini-1.5-flash,0.7,sst2
19,36.84210526315789,63.1578947368421,StressTest,pred-gemini-1.5-flash-8b,0.7,sst2
19,31.57894736842105,68.42105263157895,StressTest,pred-gemini-1.5-flash,0.8,sst2
19,31.57894736842105,68.42105263157895,StressTest,pred-gemini-1.5-flash-8b,0.8,sst2
19,36.84210526315789,63.1578947368421,StressTest,pred-gemini-1.5-flash,0.9,sst2
19,42.10526315789473,57.89473684210527,StressTest,pred-gemini-1.5-flash-8b,0.9,sst2
