num_examples,acc,asr,method,model,mask_rate,task
17,41.17647058823529,58.82352941176471,T3,pred-gemini-1.5-flash,0.1,sst2
17,47.05882352941176,52.94117647058824,T3,pred-gemini-1.5-flash-8b,0.1,sst2
17,47.05882352941176,52.94117647058824,T3,pred-gemini-1.5-flash,0.2,sst2
17,47.05882352941176,52.94117647058824,T3,pred-gemini-1.5-flash-8b,0.2,sst2
17,35.294117647058826,64.70588235294117,T3,pred-gemini-1.5-flash,0.3,sst2
17,47.05882352941176,52.94117647058824,T3,pred-gemini-1.5-flash-8b,0.3,sst2
17,41.17647058823529,58.82352941176471,T3,pred-gemini-1.5-flash,0.4,sst2
17,52.94117647058824,47.05882352941176,T3,pred-gemini-1.5-flash-8b,0.4,sst2
17,35.294117647058826,64.70588235294117,T3,pred-gemini-1.5-flash,0.5,sst2
17,35.294117647058826,64.70588235294117,T3,pred-gemini-1.5-flash-8b,0.5,sst2
17,35.294117647058826,64.70588235294117,T3,pred-gemini-1.5-flash,0.6,sst2
17,52.94117647058824,47.05882352941176,T3,pred-gemini-1.5-flash-8b,0.6,sst2
17,35.294117647058826,64.70588235294117,T3,pred-gemini-1.5-flash,0.7,sst2
17,29.411764705882355,70.58823529411764,T3,pred-gemini-1.5-flash-8b,0.7,sst2
17,35.294117647058826,64.70588235294117,T3,pred-gemini-1.5-flash,0.8,sst2
17,64.70588235294117,35.29411764705882,T3,pred-gemini-1.5-flash-8b,0.8,sst2
17,29.411764705882355,70.58823529411764,T3,pred-gemini-1.5-flash,0.9,sst2
17,70.58823529411765,29.411764705882348,T3,pred-gemini-1.5-flash-8b,0.9,sst2
