num_examples,acc,asr,method,model,mask_rate,task
16,56.25,43.75,TextFooler,pred-gemini-1.5-flash,0.1,sst2
16,56.25,43.75,TextFooler,pred-gemini-1.5-flash-8b,0.1,sst2
16,56.25,43.75,TextFooler,pred-gemini-1.5-flash,0.2,sst2
16,50.0,50.0,TextFooler,pred-gemini-1.5-flash-8b,0.2,sst2
16,43.75,56.25,TextFooler,pred-gemini-1.5-flash,0.3,sst2
16,68.75,31.25,TextFooler,pred-gemini-1.5-flash-8b,0.3,sst2
16,43.75,56.25,TextFooler,pred-gemini-1.5-flash,0.4,sst2
16,56.25,43.75,TextFooler,pred-gemini-1.5-flash-8b,0.4,sst2
16,43.75,56.25,TextFooler,pred-gemini-1.5-flash,0.5,sst2
16,56.25,43.75,TextFooler,pred-gemini-1.5-flash-8b,0.5,sst2
16,37.5,62.5,TextFooler,pred-gemini-1.5-flash,0.6,sst2
16,50.0,50.0,TextFooler,pred-gemini-1.5-flash-8b,0.6,sst2
16,43.75,56.25,TextFooler,pred-gemini-1.5-flash,0.7,sst2
16,68.75,31.25,TextFooler,pred-gemini-1.5-flash-8b,0.7,sst2
16,37.5,62.5,TextFooler,pred-gemini-1.5-flash,0.8,sst2
16,68.75,31.25,TextFooler,pred-gemini-1.5-flash-8b,0.8,sst2
16,37.5,62.5,TextFooler,pred-gemini-1.5-flash,0.9,sst2
16,62.5,37.5,TextFooler,pred-gemini-1.5-flash-8b,0.9,sst2
